ID Cliente,Data da Compra,Produto,Quantidade,Preço Unitário,Valor Total,Forma de Pagamento
CLI001,2024-09-26 20:31:01.742123,Produto D,5,37.77242432375555,188.86212161877776,Pix
CLI002,2025-03-03 20:31:01.742123,Produto A,3,40.79691992410261,122.39075977230783,Cartão de Crédito
CLI003,2024-05-21 20:31:01.742123,Produto C,1,140.8605122998575,140.8605122998575,Pix
CLI004,2024-12-04 20:31:01.742123,Produto D,4,189.9259624582857,759.7038498331428,Boleto
CLI005,2024-11-29 20:31:01.742123,Produto B,1,77.62324849586795,77.62324849586795,Cartão de Crédito
CLI006,2025-01-09 20:31:01.742123,Produto A,1,54.05933058276058,54.05933058276058,Boleto
CLI007,2024-11-02 20:31:01.742123,Produto D,1,116.1509728541121,116.1509728541121,Cartão de Crédito
CLI008,2024-09-28 20:31:01.742123,Produto B,3,95.85197779307454,287.55593337922363,Pix
CLI009,2025-04-07 20:31:01.742123,Produto A,1,55.03964250187846,55.03964250187846,Pix
CLI010,2024-09-28 20:31:01.742123,Produto C,2,168.34355163509173,336.68710327018346,Cartão de Crédito
CLI011,2025-02-16 20:31:01.742123,Produto E,4,93.36120282698305,373.4448113079322,Boleto
CLI012,2024-09-30 20:31:01.742123,Produto A,3,114.47855631448216,343.4356689434465,Boleto
CLI013,2024-12-10 20:31:01.742123,Produto C,3,116.12138009671052,348.36414029013156,Pix
CLI014,2025-02-17 20:31:01.742123,Produto A,4,137.38696347473154,549.5478538989262,Boleto
CLI015,2024-12-04 20:31:01.742123,Produto C,1,168.93151042260385,168.93151042260385,Boleto
CLI016,2025-03-22 20:31:01.742123,Produto E,3,51.983017068549195,155.94905120564758,Cartão de Crédito
CLI017,2024-07-23 20:31:01.742123,Produto B,5,72.33000327213159,361.65001636065796,Pix
CLI018,2024-06-18 20:31:01.742123,Produto A,2,183.9281231341969,367.8562462683938,Cartão de Crédito
CLI019,2024-08-02 20:31:01.742123,Produto D,5,110.40151846429887,552.0075923214944,Boleto
CLI020,2024-12-30 20:31:01.742123,Produto C,4,189.66159168035776,758.646366721431,Cartão de Crédito
CLI021,2024-11-29 20:31:01.742123,Produto B,3,23.04483356834198,69.13450070502594,Boleto
